id;start_date;end_date;language
1;2019-12-25T00:08:46;2019-12-24T21:59:01;SPANISH
2;2019-12-24T04:58:57;2019-12-25T00:03:22;SPANISH
3;2019-12-24T19:54:16;2019-12-24T06:28:25;FRENCH
4;2019-12-24T11:11:47;2019-12-24T22:43:13;FRENCH
5;2019-12-24T20:42:05;2019-12-25T01:29:04;FRENCH
6;2019-12-24T14:34:26;2019-12-25T02:42:40;FRENCH
7;2019-12-24T16:19:46;2019-12-24T10:10:37;FRENCH
8;2019-12-24T15:15:59;2019-12-25T01:32:07;SPANISH
9;2019-12-24T13:57:08;2019-12-24T10:38:31;SPANISH
10;2019-12-24T22:09:12;2019-12-24T08:43:42;SPANISH
